head_yaw,head_thrust,head_slip,current_condition,loom_cur_distance,ms_now
0,0,0,0,14.166667,95932
0,6,0,0,13.75,95949
0,2,0,0,13.333333,95966
0,3,0,0,12.916667,95982
0,3,0,0,12.5,95999
0,3,0,0,12.083333,96016
0,4,0,0,11.666667,96032
0,2,0,0,11.25,96050
0,3,0,0,10.833333,96065
0,3,0,0,10.416667,96082
0,3,0,0,10,96099
0,3,0,0,9.583333,96115
0,3,0,0,9.166667,96132
0,3,0,0,8.75,96149
0,3,0,0,8.333333,96165
0,6,0,0,7.916667,96183
0,3,0,0,7.5,96199
0,2,0,0,7.083333,96215
0,0,0,0,6.666667,96232
0,1,0,0,6.25,96249
0,3,0,0,5.833333,96266
0,6,0,0,5.416667,96282
0,8,0,0,5,96299
0,10,0,0,4.583333,96315
0,11,0,0,4.166667,96332
0,12,0,0,3.75,96349
0,12,0,0,3.333333,96365
0,12,0,0,2.916667,96383
0,10,0,0,2.5,96399
0,0,0,0,2.083333,96415
0,0,0,0,1.666667,96432
0,0,0,0,1.25,96449
0,0,0,0,0.833333,96465
0,0,0,0,0.5774,96482
0,0,0,0,0.5774,96499
0,3,0,0,0.5774,96515
0,6,0,0,0.5774,96532
0,7,0,0,0.5774,96549
0,8,0,0,0.5774,96566
0,9,0,0,0.5774,96582
0,21,0,0,0.5774,96599
0,11,0,0,0.5774,96615
0,6,0,0,0.5774,96632
0,3,0,0,0.5774,96649
0,3,0,0,0.5774,96666
0,3,0,0,0.5774,96682
0,2,0,0,0.5774,96699
0,3,0,0,0.5774,96718
0,2,0,0,0.5774,96732
0,3,0,0,0.5774,96749
0,3,0,0,0.5774,96765
0,3,0,0,0.5774,96782
0,3,0,0,0.5774,96799
0,3,0,0,0.5774,96816
0,0,0,0,0.5774,96832
0,3,0,0,0.5774,96849
0,5,0,0,0.5774,96868
0,4,0,0,0.5774,96882
0,0,0,0,0.5774,96902
0,0,0,0,0.5774,96915
0,0,0,0,0.5774,96932
0,0,0,0,0.5774,96949
0,0,0,0,0.5774,96965
0,0,0,0,0.5774,96982
0,0,0,0,0.5774,96999
0,0,0,0,0.5774,97015
0,0,0,0,0.5774,97032
0,1,0,0,0.5774,97051
0,3,0,0,0.5774,97065
0,5,0,0,0.5774,97082
0,6,0,0,0.5774,97099
0,8,0,0,0.5774,97115
0,9,0,0,0.5774,97132
0,9,0,0,0.5774,97149
0,9,0,0,0.5774,97166
0,8,0,0,0.5774,97182
0,8,0,0,0.5774,97199
0,9,0,0,0.5774,97215
0,3,0,0,0.5774,97233
0,3,0,0,0.5774,97249
0,2,0,0,0.5774,97265
0,3,0,0,0.5774,97282
0,3,0,0,0.5774,97299
0,3,0,0,0.5774,97315
0,2,0,0,0.5774,97332
0,3,0,0,0.5774,97349
0,2,0,0,0.5774,97366
0,3,0,0,0.5774,97383
0,6,0,0,0.5774,97399
0,3,0,0,0.5774,97416
0,3,0,0,0.5774,97432
0,3,0,0,0.5774,97449
0,2,0,0,0.5774,97465
0,3,0,0,0.5774,97482
0,2,0,0,0.5774,97499
0,2,0,0,0.5774,97515
0,4,0,0,0.5774,97535
0,5,0,0,0.5774,97549
0,4,0,0,0.5774,97566
0,3,0,0,0.5774,97582
0,2,0,0,0.5774,97599
0,3,0,0,0.5774,97615
0,3,0,0,0.5774,97632
0,3,0,0,0.5774,97649
0,3,0,0,0.5774,97665
0,3,0,0,0.5774,97682
0,3,0,0,0.5774,97699
0,3,0,0,0.5774,97716
0,3,0,0,0.5774,97732
0,3,0,0,0.5774,97749
0,3,0,0,0.5774,97765
0,3,0,0,0.5774,97782
0,5,0,0,0.5774,97799
0,3,0,0,0.5774,97815
0,2,0,0,0.5774,97834
0,0,0,0,0.5774,97849
0,6,0,0,0.5774,97868
0,2,0,0,0.5774,97883
