head_yaw,head_thrust,head_slip,cur_wavelength,rotation_direction,ms_now
0,0,0,4,1,10135
0,0,0,4,1,10151
0,0,0,4,1,10169
0,0,0,4,1,10185
0,0,0,4,1,10202
0,0,0,4,1,10219
0,0,0,4,1,10236
0,0,0,4,1,10253
0,0,0,4,1,10269
0,0,0,4,1,10285
0,0,0,4,1,10301
0,0,0,4,1,10319
0,0,0,4,1,10335
0,0,0,4,1,10352
0,0,0,4,1,10369
0,0,0,4,1,10386
0,0,0,4,1,10402
0,0,0,4,1,10419
0,0,0,4,1,10435
0,0,0,4,1,10453
0,0,0,4,1,10469
0,0,0,4,1,10486
0,0,0,4,1,10502
0,0,0,4,1,10519
0,0,0,4,1,10535
0,0,0,4,1,10551
0,0,0,4,1,10568
0,0,0,4,1,10585
0,0,0,4,1,10601
0,0,0,4,1,10619
0,0,0,4,1,10635
0,0,0,4,1,10652
0,0,0,4,1,10669
0,0,0,4,1,10685
0,0,0,4,1,10701
0,0,0,4,1,10719
0,0,0,4,1,10735
0,0,0,4,1,10751
0,0,0,4,1,10769
0,0,0,4,1,10785
0,0,0,4,1,10802
0,0,0,4,1,10818
0,0,0,4,1,10835
0,0,0,4,1,10852
0,0,0,4,1,10869
0,0,0,4,1,10884
0,0,0,4,1,10902
0,0,0,4,1,10919
0,0,0,4,1,10935
0,0,0,4,1,10952
0,0,0,4,1,10968
0,0,0,4,1,10985
0,0,0,4,1,11002
0,0,0,4,1,11019
0,0,0,4,1,11035
0,0,0,4,1,11051
0,0,0,4,1,11069
0,0,0,4,1,11085
0,0,0,4,1,11101
0,0,0,4,1,11119
0,0,0,4,1,11135
0,0,0,4,1,11151
0,0,0,4,1,11169
0,0,0,4,1,11185
0,0,0,4,1,11202
0,0,0,4,1,11219
0,0,0,4,1,11234
0,0,0,4,1,11252
0,0,0,4,1,11269
0,0,0,4,1,11286
0,0,0,4,1,11301
0,0,0,4,1,11319
0,0,0,4,1,11335
0,0,0,4,1,11351
0,0,0,4,1,11368
