head_yaw,head_thrust,head_slip,reward_out,lick_in,ms_now
0,0,0,0,0,8096
0,0,0,0,0,8112
0,0,0,0,0,8128
0,0,0,0,0,8144
0,0,0,0,0,8161
0,-2,0,0,0,8181
0,-1,0,0,0,8196
0,-1,0,0,0,8214
0,-2,0,0,0,8230
0,-2,0,0,0,8247
0,-2,0,0,0,8267
0,-1,0,0,0,8281
0,0,0,0,0,8295
0,0,0,0,0,8312
0,1,0,0,0,8330
0,0,0,0,0,8344
0,0,0,0,0,8362
0,0,0,0,0,8377
0,0,0,0,0,8394
0,0,0,0,0,8411
0,0,0,0,0,8432
0,0,0,0,0,8446
0,0,0,0,0,8462
0,1,0,0,0,8479
0,0,0,0,0,8495
0,0,0,0,0,8514
0,-1,0,0,0,8529
0,0,0,0,0,8546
0,-1,0,0,0,8562
0,0,0,0,0,8579
0,1,0,0,0,8595
0,2,0,0,0,8612
0,3,0,0,0,8628
0,0,0,0,0,8646
0,2,0,0,0,8662
0,4,0,0,0,8679
0,2,0,0,0,8696
0,3,0,0,0,8713
0,1,0,0,0,8729
0,0,0,0,0,8747
0,0,0,0,0,8763
0,0,0,0,0,8778
0,0,0,0,0,8795
0,0,0,0,0,8812
0,-2,0,0,0,8829
0,-2,0,0,0,8845
0,-5,0,0,0,8862
0,-1,0,0,0,8879
0,-1,0,0,0,8896
0,-1,0,0,0,8912
0,0,0,0,0,8929
0,0,0,0,0,8945
0,-4,0,0,0,8962
0,-4,0,0,0,8979
0,-2,0,0,0,8996
0,-2,0,0,0,9012
0,-1,0,0,0,9029
0,0,0,0,0,9046
0,0,0,0,0,9062
0,0,0,0,0,9079
0,-1,0,0,0,9095
0,0,0,0,0,9112
0,0,0,0,0,9128
0,0,0,0,0,9146
0,3,0,0,0,9162
0,2,0,0,0,9179
0,0,0,0,0,9195
0,-2,0,0,0,9214
0,0,0,0,0,9231
0,-1,0,0,0,9245
0,-1,0,0,0,9263
0,0,0,0,0,9279
0,-8,0,0,0,9300
0,-2,0,0,0,9313
0,0,0,0,0,9329
0,2,0,0,0,9349
0,3,0,0,0,9362
0,2,0,0,0,9379
0,2,0,0,0,9399
0,0,0,0,0,9413
0,0,0,0,0,9427
0,0,0,0,0,9445
0,0,0,0,0,9463
0,0,0,0,0,9478
0,0,0,0,0,9495
0,0,0,0,0,9511
0,0,0,0,0,9528
0,0,0,0,0,9545
0,0,0,0,0,9562
0,0,0,0,0,9579
0,0,0,0,0,9595
0,0,0,0,0,9611
0,0,0,0,0,9629
0,0,0,0,0,9645
0,0,0,0,0,9661
0,0,0,0,0,9678
0,0,0,0,0,9695
0,0,0,0,0,9712
0,0,0,0,0,9728
0,0,0,0,0,9745
0,0,0,0,0,9762
0,0,0,0,0,9779
0,0,0,0,0,9796
0,0,0,0,0,9811
0,0,0,0,0,9828
0,0,0,0,0,9844
0,0,0,0,0,9861
0,0,0,0,0,9878
0,0,0,0,0,9895
0,0,0,0,0,9911
0,0,0,0,0,9928
0,0,0,0,0,9945
