head_yaw,head_thrust,head_slip,head_x,head_z,head_yaw_angle,reward_out,lick_in,loom_cur_distance,ms_now
-28,101,0,0.5,0.356805,180,0,0,0.5774,6626
-22,76,0,0.5,0.367065,180,0,0,0.5774,6643
-34,112,0,0.5,0.382185,180,0,0,0.5774,6659
-16,65,0,0.5,0.39096,180,0,0,0.5774,6675
-10,54,0,0.5,0.39825,180,0,0,0.5774,6692
-7,57,0,0.5,0.405945,180,0,0,0.5774,6709
-1,28,0,0.5,0.409725,180,0,0,0.5774,6725
-3,28,0,0.5,0.413505,180,0,0,0.5774,6743
-1,6,0,0.5,0.414315,180,0,0,0.5774,6759
0,0,0,0.5,0.414315,180,0,0,0.5774,6775
0,0,0,0.5,0.414315,180,0,0,0.5774,6792
0,0,0,0.5,0.414315,180,0,0,0.5774,6808
0,0,0,0.5,0.414315,180,0,0,0.5774,6825
0,0,0,0.5,0.414315,180,0,0,0.5774,6842
0,0,0,0.5,0.414315,180,0,0,0.5774,6858
0,0,0,0.5,0.414315,180,0,0,0.5774,6875
0,0,0,0.5,0.414315,180,0,0,0.5774,6892
0,0,0,0.5,0.414315,180,0,0,0.5774,6908
0,0,0,0.5,0.414315,180,0,0,0.5774,6925
0,0,0,0.5,0.414315,180,0,0,0.5774,6942
0,0,0,0.5,0.414315,180,0,0,0.5774,6958
-5,27,0,0.5,0.41796,180,0,0,0.5774,6975
-17,66,0,0.5,0.42687,180,0,0,0.5774,6993
-29,115,0,0.5,0.442395,180,0,0,0.5774,7009
-20,77,0,0.5,0.45279,180,0,0,0.5774,7026
-25,105,0,0.5,0.466965,180,0,0,0.5774,7043
-11,59,0,0.5,0.47493,180,0,0,0.5774,7059
-8,50,0,0.5,0.48168,180,0,0,0.5774,7075
-7,58,0,0.5,0.48951,180,0,0,0.5774,7093
-3,25,0,0.5,0.492885,180,0,0,0.5774,7108
-4,15,0,0.5,0.49491,180,0,0,0.5774,7126
0,0,0,0.5,0.49491,180,0,0,0.5774,7142
